,COMMUNITY IMPACT SCORE,tot_ratio,new_community_score,normalized_community_score,OPPORTUNITY SCORE,ZIP CODE
0,30.5,1.0000000000000002,2.398820402060143,2.3988204020601427,3.0,15001
1,21.0,1.0,3.444746256790778,3.444746256790778,3.0,15003
2,2.5,1.0,2.5,2.5,3.0,15004
3,11.0,1.0,2.2644398766700924,2.2644398766700924,3.5,15005
4,1.5,1.0,1.5,1.5,2.75,15006
5,3.0,2.0,3.0,1.5,3.0,15007
6,24.0,1.0,2.6464688427299703,2.6464688427299703,3.75,15009
7,33.0,1.0000000000000002,2.9268359268359267,2.9268359268359263,3.0,15010
8,23.0,1.0060578351811635,1.9138758715281747,1.9023517382413089,3.0,15012
9,8.0,2.0,8.0,4.0,3.0,15014
10,3.0,1.9068441064638784,1.9068441064638784,1.0,4.75,15015
11,18.5,1.0,2.1312361139163802,2.1312361139163802,4.0,15017
12,4.0,1.0,1.0893371757925072,1.0893371757925072,3.0,15018
13,9.5,1.0,2.7689393939393936,2.7689393939393936,2.75,15019
14,2.0,1.0,2.0,2.0,2.75,15020
15,11.5,1.0,2.3632231404958675,2.3632231404958675,3.0,15021
16,22.0,1.0,3.5612863135000774,3.5612863135000774,3.0,15022
17,16.5,1.0020727775218794,1.7064716720405344,1.7029418524477131,3.0,15024
18,19.0,0.9999999999999999,2.073021543791274,2.0730215437912745,3.25,15025
19,6.5,1.0,1.5573770491803278,1.5573770491803278,4.0,15026
20,3.0,1.0,1.978668941979522,1.978668941979522,3.0,15027
21,2.0,1.0,2.0,2.0,2.75,15028
22,2.0,1.0,2.0,2.0,2.75,15030
23,2.5,1.0,1.1142857142857143,1.1142857142857143,2.75,15031
24,8.5,1.0,3.44183548189073,3.44183548189073,2.5,15033
25,3.0,1.0,3.0,3.0,3.0,15034
26,10.0,1.0,2.9774774774774775,2.9774774774774775,3.0,15035
27,11.5,1.0,1.702534039334342,1.702534039334342,3.0,15037
28,2.0,1.0,2.0,2.0,3.0,15038
29,9.5,1.0,1.62759900990099,1.62759900990099,3.25,15042
30,5.0,1.0,1.7434738955823295,1.7434738955823295,3.5,15043
31,19.0,1.5667314418966187,1.9976292265837543,1.2750297678110736,4.0,15044
32,6.0,1.0,3.180245964642582,3.180245964642582,2.75,15045
33,1.5,1.0,1.5,1.5,3.0,15046
34,8.5,1.0116731517509727,2.0525291828793777,2.028846153846154,3.0,15049
35,5.0,1.0,1.6857569721115537,1.6857569721115537,3.75,15050
36,3.0,1.0,1.4999999999999998,1.4999999999999998,2.75,15051
37,10.0,1.0,1.5043859649122808,1.5043859649122808,3.0,15052
38,3.0,1.0,3.0,3.0,3.0,15053
39,3.0,1.0,3.0,3.0,3.0,15054
40,2.0,1.0,2.0,2.0,4.0,15055
41,3.0,1.0,3.0,3.0,3.0,15056
42,19.0,1.0,1.801865671641791,1.801865671641791,4.25,15057
43,9.0,1.0,4.015338645418327,4.015338645418327,3.0,15059
44,5.5,1.0,2.5067307692307694,2.5067307692307694,3.0,15060
45,13.0,1.0,2.396871945259042,2.396871945259042,3.0,15061
46,12.0,1.0,3.1164642643838345,3.1164642643838345,3.0,15062
47,15.0,1.0,2.5686695278969958,2.5686695278969958,3.0,15063
48,2.5,1.0,1.4894957983193275,1.4894957983193275,3.25,15064
49,14.0,1.3245073891625614,3.904402709359606,2.9478149697814975,2.75,15065
50,24.0,1.0,3.1196943972835314,3.1196943972835314,3.0,15066
51,6.0,1.0,2.941869300911854,2.941869300911854,3.0,15067
52,49.0,1.0,2.903562036815682,2.903562036815682,3.0,15068
53,11.5,1.0,1.598437777383277,1.598437777383277,3.25,15071
54,2.0,1.0,2.0,2.0,3.0,15072
55,15.0,1.0,3.272242722427224,3.272242722427224,3.0,15074
56,1.5,1.0,1.5,1.5,3.0,15075
57,3.5,1.0,1.6329896907216495,1.6329896907216495,2.75,15076
58,1.5,1.0,1.5,1.5,2.33,15077
59,3.0,1.0,3.0,3.0,3.5,15078
60,2.0,1.0,2.0,2.0,3.0,15081
61,2.0,1.0,2.0,2.0,3.0,15082
62,3.5,1.0,2.39749430523918,2.39749430523918,3.0,15083
63,29.5,1.1402969790066564,3.809609148318826,3.3408920820236494,2.75,15084
64,9.0,0.9999999999999999,1.719944317894204,1.7199443178942042,3.5,15085
65,2.0,1.0,1.0,1.0,4.5,15086
66,2.0,1.0,2.0,2.0,3.75,15087
67,2.0,1.0,2.0,2.0,2.75,15088
68,15.0,0.9999999999999999,2.2549800796812747,2.254980079681275,3.25,15089
69,11.0,1.4181401440733468,1.420432220039293,1.001616254906488,4.75,15090
70,14.5,1.0,1.2342428733327526,1.2342428733327526,3.75,15101
71,20.0,1.0,1.4975946879869912,1.4975946879869912,3.75,15102
72,35.0,1.0,4.496127158302404,4.496127158302404,2.0,15104
73,27.5,0.9999999999999999,2.7481851567170548,2.748185156717055,3.0,15106
74,27.0,1.0,2.0502293792716038,2.0502293792716038,3.75,15108
75,11.0,1.0,3.928101132473005,3.928101132473005,2.0,15110
76,17.5,1.0,3.634888888888889,3.634888888888889,3.0,15112
77,16.0,1.0195176355778615,1.415586226125749,1.3884862573499244,3.75,15116
78,23.5,1.0000000000000002,2.87174672489083,2.8717467248908295,3.0,15120
79,24.5,1.0,2.409642988590357,2.409642988590357,3.0,15122
80,10.0,0.9999999999999999,1.6365979381443296,1.6365979381443299,3.25,15126
81,10.5,1.0,1.6286219081272086,1.6286219081272086,3.5,15129
82,17.0,1.0,1.963259131186514,1.963259131186514,3.0,15131
83,50.5,1.0,3.850221421601741,3.850221421601741,2.25,15132
84,5.5,1.0,2.095304294099475,2.095304294099475,3.0,15133
85,3.5,1.0,1.9951397326852978,1.9951397326852978,3.0,15135
86,25.5,1.0,2.966848887153456,2.966848887153456,3.0,15136
87,16.0,1.0,2.758122448979592,2.758122448979592,2.75,15137
88,7.0,1.0,1.960143139190523,1.960143139190523,3.75,15139
89,9.0,1.0,3.996170416467209,3.996170416467209,2.5,15140
90,2.5,1.0,1.0014058106841612,1.0014058106841612,5.5,15142
91,12.0,1.0,1.5565916986652035,1.5565916986652035,4.75,15143
92,8.0,0.9999999999999999,2.719650655021834,2.7196506550218342,3.0,15144
93,15.5,1.0,3.8468071382498388,3.8468071382498388,3.0,15145
94,26.5,0.9999999999999999,1.74179508293142,1.7417950829314202,3.25,15146
95,20.0,1.0,2.3411739548807873,2.3411739548807873,3.0,15147
