CENSUS TRACT,COUNTY,COMMUNITY IMPACT SCORE,,
"Census Tract 301.01, Adams County, Pennsylvania",Adams,2,,
"Census Tract 301.02, Adams County, Pennsylvania",Adams,1,,
"Census Tract 302, Adams County, Pennsylvania",Adams,3.5,,
"Census Tract 303, Adams County, Pennsylvania",Adams,2,,
"Census Tract 304, Adams County, Pennsylvania",Adams,2,,
"Census Tract 305, Adams County, Pennsylvania",Adams,3,,
"Census Tract 306, Adams County, Pennsylvania",Adams,2.5,,
"Census Tract 307, Adams County, Pennsylvania",Adams,3,,
"Census Tract 308, Adams County, Pennsylvania",Adams,2,,
"Census Tract 309, Adams County, Pennsylvania",Adams,2.5,,
"Census Tract 310, Adams County, Pennsylvania",Adams,1.5,,
"Census Tract 311.01, Adams County, Pennsylvania",Adams,4,,
"Census Tract 311.02, Adams County, Pennsylvania",Adams,2,,
"Census Tract 312.01, Adams County, Pennsylvania",Adams,1,,
"Census Tract 312.02, Adams County, Pennsylvania",Adams,1.5,,
"Census Tract 312.03, Adams County, Pennsylvania",Adams,1,,
"Census Tract 313, Adams County, Pennsylvania",Adams,3.5,,
"Census Tract 314.01, Adams County, Pennsylvania",Adams,2,,
"Census Tract 314.02, Adams County, Pennsylvania",Adams,2,,
"Census Tract 315.01, Adams County, Pennsylvania",Adams,5,,
"Census Tract 315.02, Adams County, Pennsylvania",Adams,5,,
"Census Tract 316, Adams County, Pennsylvania",Adams,1,,
"Census Tract 317, Adams County, Pennsylvania",Adams,2.5,,
"Census Tract 1005, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 1011, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 1014, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 1016, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 1017, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 1018, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 103, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 1102, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 1106, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 1113, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 1114, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 1115, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 1203, Allegheny County, Pennsylvania",Allegheny,4,,
"Census Tract 1204, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 1207, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 1208, Allegheny County, Pennsylvania",Allegheny,4.5,,
"Census Tract 1301, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 1302, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 1303, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 1304, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 1306, Allegheny County, Pennsylvania",Allegheny,5,,
"Census Tract 1401, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 1402, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 1403, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 1404, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 1405, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 1406, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 1408, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 1410, Allegheny County, Pennsylvania",Allegheny,1.5,,
"Census Tract 1411, Allegheny County, Pennsylvania",Allegheny,1,,
"Census Tract 1413, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 1414, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 1516, Allegheny County, Pennsylvania",Allegheny,3,,
"Census Tract 1517, Allegheny County, Pennsylvania",Allegheny,2,,
"Census Tract 1608, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 1609, Allegheny County, Pennsylvania",Allegheny,3.5,,
"Census Tract 1702, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 1706, Allegheny County, Pennsylvania",Allegheny,2.5,,
"Census Tract 1803, Allegheny County, Pennsylvania",Allegheny,4,,
