,index,tract_id_proper,ci_score,op_score,so,srb,shs,chc,County FIPS Code,tract,tract_id
0,0,1,3.8,3.398695652173913,0.16787826086956556,0.3905217391304337,0.3533043478260874,0.00521739130434783,107,42107000100,000100
1,3,10,4.25,3.3181818181818183,0.14071818181818205,0.3962727272727275,0.4808272727272731,0.004545454545454548,49,42049001000,001000
2,4,10.01,1.0,5.25,0.13315,0.3524,0.43555,0.005,101,42101001001,001001
3,5,10.02,1.5,5.0,0.13793333333333332,0.39493333333333336,0.30926666666666663,0.0033333333333333335,101,42101001002,001002
4,6,100,3.0,3.25,0.1175,0.3985,0.57325,0.005,101,42101010000,010000
5,11,1002,3.25,3.0625,0.16185,0.3441,0.507925,0.005,69,42069100200,100200
6,15,1002.08,2.5,4.625,0.1511,0.43735,0.057300000000000004,0.0,17,42017100208,100208
7,19,1003,3.5,3.0,0.1611,0.36766666666666664,0.47540000000000004,0.0033333333333333335,69,42069100300,100300
8,20,1003.02,1.5,4.0,0.12140000000000001,0.55865,0.21084999999999998,0.0,17,42017100302,100302
9,22,1003.04,4.0,4.25,0.13795000000000002,0.43600000000000005,0.16895,0.0,17,42017100304,100304
10,23,1003.06,2.0,4.0,0.12140000000000001,0.55865,0.21084999999999998,0.0,17,42017100306,100306
11,24,1003.07,2.0,4.0,0.12140000000000001,0.55865,0.21084999999999998,0.0,17,42017100307,100307
12,25,1004,2.5,3.0,0.15699999999999997,0.3402,0.48885,0.005,69,42069100400,100400
13,26,1004.01,1.5,4.4375,0.140325,0.40270000000000006,0.113175,0.0,17,42017100401,100401
14,28,1004.03,2.0,4.0,0.13045,0.4302,0.1742,0.0,17,42017100403,100403
15,29,1004.04,1.0,4.0,0.12210000000000001,0.3404,0.0453,0.0,17,42017100404,100404
16,30,1004.06,3.0,4.5,0.15439999999999998,0.4481,0.0175,0.0,17,42017100406,100406
17,32,1004.08,1.0,4.0,0.13180000000000003,0.3382,0.03075,0.0,17,42017100408,100408
18,33,1005,2.75,3.357142857142857,0.15431428571428568,0.3971428571428571,0.4912000000000002,0.002857142857142857,69,42069100500,100500
19,34,1006,3.0,3.25,0.16033999999999998,0.40063999999999994,0.48864,0.004,13,42013100600,100600
20,35,1007,4.25,3.5,0.1538,0.40449999999999997,0.35935,0.005,13,42013100700,100700
21,36,1008,2.5,3.125,0.15844999999999998,0.34504999999999997,0.5405500000000001,0.01,69,42069100800,100800
22,37,1008.03,1.5,4.583333333333333,0.14083333333333334,0.3636,0.04986666666666667,0.0,17,42017100803,100803
23,38,1008.04,1.0,4.25,0.1296,0.3462,0.04005,0.0,17,42017100804,100804
24,39,1008.05,1.0,4.333333333333333,0.13786666666666667,0.3801666666666667,0.03253333333333333,0.0,17,42017100805,100805
25,42,1008.09,1.0,5.25,0.15339999999999998,0.3894,0.07289999999999999,0.0,17,42017100809,100809
26,43,1008.11,2.0,4.875,0.1502,0.37520000000000003,0.05215,0.0,17,42017100811,100811
27,44,1009,2.3333333333333335,3.8333333333333335,0.16006666666666666,0.36283333333333334,0.3835333333333333,0.006666666666666667,17,42017100900,100900
28,45,101,2.1666666666666665,3.411999999999999,0.17490857142857136,0.2988199999999994,0.32122,0.0005714285714285715,81,42081010100,010100
29,46,101.01,1.5,3.3125,0.15383333333333338,0.2711999999999999,0.24519166666666667,0.0016666666666666668,71,42071010101,010101
30,47,101.02,3.5,3.5,0.16546666666666665,0.2760333333333333,0.23816666666666664,0.0,13,42013010102,010102
31,48,101.03,2.25,3.0,0.1547,0.19594,0.27107999999999993,0.002,13,42013010103,010103
32,49,101.04,1.0,3.1875,0.131475,0.224725,0.3539,0.0,49,42049010104,010104
33,52,1011,2.5,3.5,0.16908333333333328,0.3501,0.4192333333333333,0.0033333333333333335,13,42013101100,101100
34,53,1012,2.5,3.0,0.1839,0.356875,0.45502499999999996,0.0025,69,42069101200,101200
35,54,1013,2.5,3.125,0.17445,0.4014,0.5811999999999999,0.005,69,42069101300,101300
