ZIP CODE,AREA,OPPORTUNITY SCORE,,
15001,"ZIP 15001 (Aliquippa, PA)",3,,
15003,"ZIP 15003 (Ambridge, PA)",3,,
15004,"ZIP 15004 (Atlasburg, PA)",3,,
15005,"ZIP 15005 (Baden, PA)",3.5,,
15006,"ZIP 15006 (Bairdford, PA)",2.75,,
15007,"ZIP 15007 (Bakerstown, PA)",3,,
15009,"ZIP 15009 (Beaver, PA)",3.75,,
15010,"ZIP 15010 (Beaver Falls, PA)",3,,
15012,"ZIP 15012 (Belle Vernon, PA)",3,,
15014,"ZIP 15014 (Brackenridge, PA)",3,,
15015,"ZIP 15015 (Bradfordwoods, PA)",4.75,,
15017,"ZIP 15017 (Bridgeville, PA)",4,,
15018,"ZIP 15018 (Buena Vista, PA)",3,,
15019,"ZIP 15019 (Bulger, PA)",2.75,,
15020,"ZIP 15020 (Bunola, PA)",2.75,,
15021,"ZIP 15021 (Burgettstown, PA)",3,,
15022,"ZIP 15022 (Charleroi, PA)",3,,
15024,"ZIP 15024 (Cheswick, PA)",3,,
15025,"ZIP 15025 (Clairton, PA)",3.25,,
15026,"ZIP 15026 (Clinton, PA)",4,,
15027,"ZIP 15027 (Conway, PA)",3,,
15028,"ZIP 15028 (Coulters, PA)",2.75,,
15030,"ZIP 15030 (Creighton, PA)",2.75,,
15031,"ZIP 15031 (Cuddy, PA)",2.75,,
15033,"ZIP 15033 (Donora, PA)",2.5,,
15034,"ZIP 15034 (Dravosburg, PA)",3,,
15035,"ZIP 15035 (East Mc Keesport, PA)",3,,
15037,"ZIP 15037 (Elizabeth, PA)",3,,
15038,"ZIP 15038 (Elrama, PA)",3,,
15042,"ZIP 15042 (Freedom, PA)",3.25,,
15043,"ZIP 15043 (Georgetown, PA)",3.5,,
15044,"ZIP 15044 (Gibsonia, PA)",4,,
15045,"ZIP 15045 (Glassport, PA)",2.75,,
15046,"ZIP 15046 (Crescent, PA)",3,,
15049,"ZIP 15049 (Harwick, PA)",3,,
15050,"ZIP 15050 (Hookstown, PA)",3.75,,
15051,"ZIP 15051 (Indianola, PA)",2.75,,
15052,"ZIP 15052 (Industry, PA)",3,,
15053,"ZIP 15053 (Joffre, PA)",3,,
15054,"ZIP 15054 (Langeloth, PA)",3,,
15055,"ZIP 15055 (Lawrence, PA)",4,,
15056,"ZIP 15056 (Leetsdale, PA)",3,,
15057,"ZIP 15057 (Mc Donald, PA)",4.25,,
15059,"ZIP 15059 (Midland, PA)",3,,
15060,"ZIP 15060 (Midway, PA)",3,,
15061,"ZIP 15061 (Monaca, PA)",3,,
15062,"ZIP 15062 (Monessen, PA)",3,,
15063,"ZIP 15063 (Monongahela, PA)",3,,
15064,"ZIP 15064 (Morgan, PA)",3.25,,
15065,"ZIP 15065 (Natrona Heights, PA)",2.75,,
15066,"ZIP 15066 (New Brighton, PA)",3,,
15067,"ZIP 15067 (New Eagle, PA)",3,,
15068,"ZIP 15068 (New Kensington, PA)",3,,
15071,"ZIP 15071 (Oakdale, PA)",3.25,,
15072,"ZIP 15072 (Pricedale, PA)",3,,
15074,"ZIP 15074 (Rochester, PA)",3,,
15075,"ZIP 15075 (Rural Ridge, PA)",3,,
15076,"ZIP 15076 (Russellton, PA)",2.75,,
15077,"ZIP 15077 (Shippingport, PA)",2.33,,
15078,"ZIP 15078 (Slovan, PA)",3.5,,
15081,"ZIP 15081 (South Heights, PA)",3,,
15082,"ZIP 15082 (Sturgeon, PA)",3,,
15083,"ZIP 15083 (Sutersville, PA)",3,,
15084,"ZIP 15084 (Tarentum, PA)",2.75,,
15085,"ZIP 15085 (Trafford, PA)",3.5,,
15086,"ZIP 15086 (Warrendale, PA)",4.5,,
15087,"ZIP 15087 (Webster, PA)",3.75,,
15088,"ZIP 15088 (West Elizabeth, PA)",2.75,,
15089,"ZIP 15089 (West Newton, PA)",3.25,,
15090,"ZIP 15090 (Wexford, PA)",4.75,,
15101,"ZIP 15101 (Allison Park, PA)",3.75,,
15102,"ZIP 15102 (Bethel Park, PA)",3.75,,
15104,"ZIP 15104 (Braddock, PA)",2,,
15106,"ZIP 15106 (Carnegie, PA)",3,,
15108,"ZIP 15108 (Coraopolis, PA)",3.75,,
15110,"ZIP 15110 (Duquesne, PA)",2,,
15112,"ZIP 15112 (East Pittsburgh, PA)",3,,
15116,"ZIP 15116 (Glenshaw, PA)",3.75,,
15120,"ZIP 15120 (Homestead, PA)",3,,
15122,"ZIP 15122 (West Mifflin, PA)",3,,
15126,"ZIP 15126 (Imperial, PA)",3.25,,
15129,"ZIP 15129 (South Park, PA)",3.5,,
15131,"ZIP 15131 (Mckeesport, PA)",3,,
15132,"ZIP 15132 (Mckeesport, PA)",2.25,,
15133,"ZIP 15133 (Mckeesport, PA)",3,,
15135,"ZIP 15135 (Mckeesport, PA)",3,,
15136,"ZIP 15136 (Mc Kees Rocks, PA)",3,,
15137,"ZIP 15137 (North Versailles, PA)",2.75,,
15139,"ZIP 15139 (Oakmont, PA)",3.75,,
15140,"ZIP 15140 (Pitcairn, PA)",2.5,,
15142,"ZIP 15142 (Presto, PA)",5.5,,
