Zip Code,Senior Occupancy (SO),Senior Rent Burden (SRB),Senior Housing Stock (SHS),Comm Heath Center (CHC)
15001,18.83%,31.05%,16.03%,Yes
15003,16.93%,33.28%,45.95%,No
15005,20.99%,33.19%,12.24%,No
15006,13.15%,48.39%,100.00%,No
15009,23.37%,31.80%,19.66%,No
15010,19.52%,27.84%,25.58%,Yes
15012,17.99%,25.09%,19.32%,Yes
15014,18.76%,27.38%,53.76%,No
15015,20.63%,24.84%,33.33%,No
15017,20.90%,43.42%,13.00%,No
15018,11.70%,13.11%,36.07%,No
15019,19.59%,31.71%,19.15%,No
15021,19.69%,30.69%,32.16%,Yes
15022,20.47%,17.89%,36.04%,Yes
15024,22.62%,33.55%,16.77%,No
15025,18.13%,25.38%,22.61%,No
15026,13.86%,10.86%,9.52%,No
15027,22.71%,27.70%,11.94%,No
15028,21.71%,17.86%,48.28%,No
15030,13.28%,30.17%,71.55%,No
15031,24.88%,32.80%,52.80%,No
15033,20.87%,13.80%,54.70%,No
15034,24.36%,23.47%,25.61%,No
15035,17.29%,36.12%,45.63%,No
15037,21.94%,26.90%,16.34%,No
15042,22.36%,27.04%,16.39%,No
15043,17.14%,42.13%,21.33%,No
15044,16.28%,36.90%,7.37%,No
15045,17.15%,36.76%,42.45%,No
15046,20.60%,21.53%,16.33%,No
15049,28.22%,40.12%,6.67%,No
15050,13.27%,24.74%,18.18%,No
15051,29.94%,7.59%,86.08%,No
15052,20.38%,21.91%,7.66%,No
15055,21.70%,25.43%,17.20%,No
15056,18.98%,28.33%,38.30%,No
15057,14.58%,25.46%,30.10%,No
15059,18.41%,31.91%,32.78%,No
15060,17.65%,27.71%,57.30%,No
15061,19.87%,34.58%,14.40%,No
15062,25.70%,24.02%,23.61%,Yes
15063,22.92%,23.31%,35.22%,Yes
15064,7.05%,40.00%,60.00%,No
15065,17.49%,19.63%,31.13%,No
15066,17.57%,26.52%,38.60%,No
15067,22.71%,26.76%,27.83%,No
15068,18.98%,30.60%,20.04%,Yes
15071,16.82%,29.39%,18.93%,No
15074,18.07%,26.06%,23.70%,Yes
15076,15.48%,15.56%,100.00%,No
15077,10.37%,36.36%,63.64%,No
15078,16.63%,20.93%,41.86%,No
15081,16.70%,28.00%,36.54%,No
15083,26.59%,32.14%,22.16%,No
15084,16.03%,21.24%,39.31%,No
15085,21.74%,18.37%,14.79%,No
15087,4.37%,100.00%,100.00%,No
15088,12.74%,17.65%,56.86%,No
15089,19.81%,35.91%,19.35%,No
15090,11.41%,25.37%,5.29%,No
15101,18.09%,44.83%,7.10%,No
15102,19.52%,27.81%,5.33%,No
15104,16.41%,29.83%,48.86%,Yes
15106,19.42%,29.24%,26.49%,No
15108,14.93%,25.28%,11.80%,No
15110,13.61%,45.70%,44.38%,No
15112,13.28%,37.58%,32.38%,No
15116,22.16%,25.62%,11.51%,No
15120,19.00%,30.62%,28.58%,Yes
15122,21.19%,37.53%,10.79%,No
15126,11.73%,41.68%,12.10%,No
15129,16.00%,33.46%,5.45%,No
15131,26.16%,27.20%,21.94%,No
15132,18.42%,31.18%,45.78%,Yes
15133,19.95%,19.47%,11.38%,No
15135,23.14%,24.02%,10.27%,No
15136,14.55%,33.60%,37.05%,Yes
15137,17.49%,31.27%,10.34%,No
15139,24.98%,30.35%,26.08%,No
15140,16.97%,33.11%,45.04%,No
15142,7.47%,33.90%,20.34%,No
15143,17.47%,39.94%,18.48%,No
15144,16.88%,37.03%,32.24%,No
15145,18.78%,37.54%,21.94%,No
15146,21.33%,36.55%,5.94%,No
15147,23.86%,43.03%,15.97%,No
15148,17.68%,42.40%,53.05%,No
15201,14.82%,31.55%,47.94%,No
15202,14.70%,42.43%,49.58%,No
15203,11.87%,35.14%,72.25%,No
15204,13.78%,31.69%,51.39%,No
15205,13.98%,23.78%,34.01%,Yes
15206,15.70%,45.35%,50.29%,Yes
15207,16.65%,26.75%,52.17%,Yes
15208,17.03%,40.14%,49.92%,Yes
15209,17.97%,26.68%,24.29%,No
15210,11.57%,31.80%,58.27%,Yes
15211,15.64%,37.88%,59.17%,No
15212,15.06%,32.79%,50.23%,Yes
15213,8.82%,35.22%,38.39%,No
15214,15.13%,36.98%,36.65%,Yes
15215,16.96%,23.74%,32.91%,No
15216,13.65%,39.07%,52.66%,No
15217,17.50%,40.50%,43.21%,Yes
15218,14.35%,30.32%,60.03%,Yes
15219,11.33%,51.30%,31.73%,Yes
